uuid,label
e97d46bc-7cd7-494d-a1aa-a0f95e10a67c,cyberbullying
96ad658a-782a-4c54-9e4c-21764219caf2,cyberbullying
5c279796-27d6-4365-b40c-cf4b5fa1e594,not_cyberbullying
21031cee-1cd7-4fb1-acb3-fc14af4d71bb,cyberbullying
0048788f-9732-42e9-837c-7ec8310c8b01,not_cyberbullying
6e438913-afde-4c1c-8134-7828f283eb51,not_cyberbullying
0366ecdf-bbbd-4150-9fd0-1e497d26f1e9,not_cyberbullying
a92dad68-9f4d-4bcf-878e-48a997424675,not_cyberbullying
d977d6fc-457b-46fe-8e19-d6b892ae3a3f,not_cyberbullying
6f57e085-e6ce-41e9-a013-7a5fd1a63940,cyberbullying
e4e67ce1-eb8e-4cf2-9523-e029df2b887b,not_cyberbullying
aa5398ac-8c1f-48e5-8067-fafc1ecd63e2,cyberbullying
a65f3f67-6e4f-4067-9b29-81114e432ca3,not_cyberbullying
ffa5ec72-6882-492b-961f-6316a015ea10,cyberbullying
84ce3210-f3cc-4f70-9c44-a7c958e4bbdf,cyberbullying
2b895074-0265-4938-9857-24bf63c35fb9,not_cyberbullying
8571bfd1-2b70-4489-92df-52e9344d7e9c,not_cyberbullying
643e4352-0127-472a-b514-1a086f0e7f32,cyberbullying
63d5b766-3296-40e9-840f-dac096026df8,cyberbullying
2fa2eeab-20ed-4ff4-8ce7-53228d317980,cyberbullying
cdf9937e-adf0-4ef3-bf35-2fc250ea9824,cyberbullying
7d4356a8-0bf6-49ad-bed3-9a5720611110,not_cyberbullying
18349579-97da-4660-8d98-a107cf742dd3,not_cyberbullying
cd88d0e4-47e8-4bbe-8aa4-261e18bf894e,cyberbullying
73159746-bd72-47f1-834e-612cd80e7af8,cyberbullying
8138c1b2-2127-46fb-836a-530663137d17,cyberbullying
33e7631c-c88b-4130-8095-9dfa970b8722,not_cyberbullying
b7db3471-b22a-4e53-a791-8ac5b60143ed,cyberbullying
f42c4b66-bda9-4c9d-b7e0-8c598cb45ef7,not_cyberbullying
7008b28e-5b02-4015-b1d9-72edcf000fdc,cyberbullying
cb87c702-5cff-4c2d-af8c-b581948a1bcb,cyberbullying
c98a0b07-57cf-404f-8e35-e92314041cbc,cyberbullying
f7a9e474-614d-430c-862a-2f7f78170141,not_cyberbullying
35062183-36d1-449e-94d3-83e594eacee8,not_cyberbullying
343bc4a1-0fc5-4c2a-9f78-1d2023344530,cyberbullying
8e21b72b-d02c-41b8-ad25-e1b0d398afbf,cyberbullying
c0079d9d-ac77-46f9-b030-f012d52b7b32,cyberbullying
ebd55137-3a02-48cc-8746-2dc4cd3445a0,not_cyberbullying
d778c759-3c5a-49c0-9d83-1f2d1f0f12b0,not_cyberbullying
2f9cb5aa-cca2-4cf4-8497-d1d07f54c29a,cyberbullying
9b559102-3f53-4759-80e9-efe0f6313eef,not_cyberbullying
04adbf9e-6cf4-494d-af57-d77f4849e192,not_cyberbullying
6c58c1a1-f972-426e-9edd-817380199190,cyberbullying
34b1b777-8a1e-4e99-83d8-3509495c5b39,cyberbullying
7fc83d36-bfcc-4466-94d0-e98f2166f9c0,cyberbullying
37505d83-c7d6-4639-adca-7bc088d50206,cyberbullying
35427188-1e74-4d01-afa4-84e8894efd77,not_cyberbullying
5ce0b035-ee7b-43e8-b025-fff154123a65,cyberbullying
9ff63984-f33a-4979-b657-fb7fc9cff9be,cyberbullying
76113af2-83c0-4523-9399-f222aeee943f,cyberbullying
69589205-db93-4191-a08b-99b8604fe634,cyberbullying
1347989c-5bbc-4f14-9ea4-c160fd22278b,not_cyberbullying
37385d3b-c0ec-44c5-b62e-273f8ee6398b,cyberbullying
bafae9fa-1f45-47a4-86f9-33658e6b7fad,not_cyberbullying
51e1fad8-b2bd-47d2-adff-00a7e487be11,not_cyberbullying
5c3259fe-2f20-4830-93f4-1fc50be8a51b,not_cyberbullying
8cdfb404-04a5-4666-90c9-03b664c500f1,not_cyberbullying
18332d6e-cefe-43d4-8181-340a37336a0b,not_cyberbullying
15f6dc4a-f452-48e1-b6b1-0c6f0796d4e0,not_cyberbullying
37f053b8-a4ec-49d9-a962-e4174fc101b4,not_cyberbullying
179bf3bc-7ff8-47c3-8a1a-e89bb6d06f61,not_cyberbullying
e8a8c663-569d-4fb9-be2f-d093ca9d2968,not_cyberbullying
b4c41249-e760-4ac3-885d-ac60ad20a124,not_cyberbullying
8fa635a0-acd2-42d7-90d0-c4e8097a769d,not_cyberbullying
9b91fcbe-8757-4725-ad7b-7a575fddcbbb,cyberbullying
e3148b58-211e-459a-a9c1-331fba588ec5,cyberbullying
90ccf50e-735b-4dda-acae-df19e403a805,not_cyberbullying
9096f575-8337-4a84-af62-9cce1cfb6449,not_cyberbullying
38d59c03-8f16-459e-92bb-e1e9dda6f95f,cyberbullying
c67955a0-c03e-46a7-a4d8-0f07324d1625,cyberbullying
80287853-7798-45d9-aa6a-0f73954c2464,cyberbullying
9d285bf3-e403-46d6-8980-64f35472e93b,not_cyberbullying
7a36e00a-969e-4173-8045-bb084b86dda7,not_cyberbullying
8fe8fb91-bc69-4f77-a222-a6d4af253deb,not_cyberbullying
d157d18a-5e80-4cff-a400-8fc57d74963a,cyberbullying
961a53c1-161e-40db-9b9e-38d6bc358ba1,cyberbullying
19f30dd5-6863-444f-8fb7-796a9c32d4c9,cyberbullying
80765547-8b23-4628-b230-d0e483ebc6ba,cyberbullying
d84216c5-8ce5-42bb-ab18-9d591de3cc46,cyberbullying
e1055109-5a17-4b46-8254-5ee029a871d4,cyberbullying
997f6a89-788b-41f9-ae16-e8c0ac966b6f,not_cyberbullying
18ff06ee-74b0-4d68-82b5-d6a1553641d1,not_cyberbullying
8496f7bc-fa5b-4c99-a2c8-0e845d5516f3,not_cyberbullying
42848efe-6198-4b51-aa38-1f90236d2ec2,cyberbullying
4e68179d-aef8-4492-a8f9-5ecde57e3d03,not_cyberbullying
82816d18-1768-46ee-91fd-25e7e3e75adf,cyberbullying
91de3deb-9ce4-49b7-94bf-6c5b0076ab83,cyberbullying
44eda152-a5e3-4e92-9f88-6ba4ba91574e,cyberbullying
674a60b0-8d3b-4d83-8494-dd17b62ed440,not_cyberbullying
18ad0e16-d842-4aaf-9e41-8354324ecc91,not_cyberbullying
482763da-e737-4f1f-b398-c0a42bc97510,not_cyberbullying
8d095b45-16de-405f-938b-cb78ba1bc81b,cyberbullying
1b2b394b-fd44-471e-b312-bd586716c10f,not_cyberbullying
b2e5ea7e-b5c5-402c-a2e1-c40f118e9500,cyberbullying
d185019b-19cf-47f3-8a6c-7e41ade3ed2e,cyberbullying
e330f5b2-e540-47ce-9fe4-aba9035d9aa2,cyberbullying
80d6a8e6-d199-475a-8e1a-583ee2181681,cyberbullying
70652e65-f40d-43fe-a1b2-762c0b67fda3,cyberbullying
3c589447-9f14-4c30-9b56-2aa21cc15d0f,cyberbullying
9a635905-f536-443a-9e07-8d2250ec4d75,not_cyberbullying
459b8b26-6a6c-4a2f-a172-3872144620ac,not_cyberbullying
35c8daf7-bec9-47a2-91f8-1216e1139cc4,not_cyberbullying
851d4a85-06da-4aa0-bc01-78e024c83d7e,cyberbullying
8b048447-b975-4cb5-8135-ffc11d44921b,not_cyberbullying
7945588d-0549-4b72-91eb-d24c236a06f4,not_cyberbullying
a244242b-b8e6-4cfe-a5e8-31060a3152e1,cyberbullying
657f3f52-8294-4d58-b732-3a63f5bc8a6b,cyberbullying
5d9dedd5-92f5-4cf7-9e3c-7a9f8c6aacdd,cyberbullying
fb92c444-bd80-4376-a887-b369a705c453,cyberbullying
08b01aba-4b7b-41e7-8d0c-350ec0bf50a3,not_cyberbullying
8c7b2691-892b-447a-b0d4-3bb34cde318c,not_cyberbullying
7840c418-d95a-4fee-bd9f-580006f4c003,not_cyberbullying
ab5f395a-0422-4ecf-b6eb-673ee7683869,not_cyberbullying
0352b39a-c58d-462c-b425-0a814c1cc68b,cyberbullying
862b8055-430f-4535-825c-6de5916ddb54,not_cyberbullying
ea44bdf1-4f24-497b-929b-81d308f78e98,cyberbullying
6161d4d0-e545-4784-b6af-4e3fbcec25c5,cyberbullying
f963d800-4115-4425-8507-71379bdc930d,not_cyberbullying
ec47a003-b5ad-4871-be9c-9f70929f7ece,not_cyberbullying
000299ec-a9cd-46c7-97f2-41dcba408dd3,cyberbullying
5d2f4bfe-e7e5-4500-b51e-0ad85b9992f8,cyberbullying
bf595e3b-f473-4d50-9d46-1b8b85534efa,not_cyberbullying
f8742751-ef8b-4884-9749-aaf45130aab8,not_cyberbullying
bd7789cb-3264-41c1-840b-7ac07b44af1b,not_cyberbullying
8da1c5ca-326e-4de8-9054-bfb65b562ed4,cyberbullying
